No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143968	ZSCR	551	030-1	NA	5WY9011M	NA	A2C31229200	1301	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	251.08	S1_TIPM MEDIUM_PABLO PA	4957512784		
143968	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428227	1301	PIN	NA	ROH	NA	0.8	S1_TIPM MEDIUM_PABLO PA	4957512784		
143968	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428228	1301	PIN	NA	ROH	NA	8.4	S1_TIPM MEDIUM_PABLO PA	4957512784		
143968	ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428229	1301	"PIN,TNG FORK (TALL)"	NA	ROH	NA	0.88	S1_TIPM MEDIUM_PABLO PA	4957512784		
143969	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428221	1342	"PIN,STPD,COP,BRD TO BRD RCPT (TYCO)"	NA	ROH	NA	80.56	S1_TIPM MEDIUM_PABLO PA	4957513324		
143970	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428219	1342	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	17.6	S1_TIPM LOGIC_PABLO PAL	4957513324		
143971	ZSCR	551	034-2	NA	5WY9011M	NA	A2C00062952	1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	118.66	S1_TIPM MEDIUM_PABLO PA	4957513324		
143972	ZSCR	551	034-2	NA	5WY9011	NA	A2C40018533	1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	152.8	S1_TIPM MEDIUM_PABLO PA	4957513324		
143975	ZSCR	551	042-4	NA	A2C53258129B	NA	A2C53216585	1424	pcb panel multiple 4-up	NA	ROH	NA	376.96	S5_ECU 08_ENRIQUE GARCI	4957513735		
144020	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	241.23	S5_FOB ACURA 08_ENRIQUE	4957511155		
144022	ZSCR	551	030-1	NA	5WK49830	NA	A2C53335967B	1301	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	81.56	S5_FOB ACURA 08_ENRIQUE	4957511172		
144030	ZSCR	551	034-2	NA	A2C31229100T	NA	A2C53428225	1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	738.08	S1_TIPM LOGIC_PABLO PAL	4957513377		
144035	ZSCR	551	034-2	NA	5WY8842	NA	A2C53428199	1342	"PIN,NAT"	NA	ROH	NA	40.44	S1_TIPM LOGIC_PABLO PAL	4957513224		
144036	ZSCR	551	034-2	NA	5WY8842	NA	A2C53428198	1342	"PIN,SPD TERM Z02 VERISON"	NA	ROH	NA	14.8	S1_TIPM LOGIC_PABLO PAL	4957513224		
